,LBXBPB,LBDBPBSI,LBDBPBLC,LBXBCD,LBDBCDSI,LBDBCDLC,LBXTHG,LBDTHGSI,LBDTHGLC,LBXBSE,LBDBSESI,LBDBSELC,LBXBMN,LBDBMNSI,LBDBMNLC
LBXBPB,,0.9977576932576644,,,,,,,,,,,,,
LBDBPBSI,0.9977576932576644,,,,,,,,,,,,,,
LBDBPBLC,,,,,,,,,,,,,,,
LBXBCD,,,,,,,,,,,,,,,
LBDBCDSI,,,,,,,,,,,,,,,
LBDBCDLC,,,,,,,,,,,,,,,
LBXTHG,,,,,,,,,,,,,,,
LBDTHGSI,,,,,,,,,,,,,,,
LBDTHGLC,,,,,,,,,,,,,,,
LBXBSE,,,,,,,,,,,,,,,
LBDBSESI,,,,,,,,,,,,,,,
LBDBSELC,,,,,,,,,,,,,,,
LBXBMN,,,,,,,,,,,,,,,
LBDBMNSI,,,,,,,,,,,,,,,
LBDBMNLC,,,,,,,,,,,,,,,
