,WTSB2YR,URXCNP,URDCNPLC,URXCOP,URDCOPLC,URXECP,URDECPLC,URXECPT,URDEPCLC,URXHIBP,URDHIBLC,URXMBP,URDMBPLC,URXMC1,URDMC1LC,URXMCOH,URDMCOLC,URXMEP,URDMEPLC,URXMHBP,URDMHBLC,URXMHH,URDMHHLC,URXMHHT,URDMHTLC,URXMHNC,URDMCHLC,URXMHP,URDMHPLC,URXMIB,URDMIBLC,URXMNP,URDMNPLC,URXMOH,URDMOHLC,URXMONP,URDMONLC,URXMZP,URDMZPLC
WTSB2YR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXCNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDCNPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXCOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8776855648539272,,,
URDCOPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXECP,,,,,,,,,,,,,,,,,,,,,,0.8237404266751795,,,,,,,,,,,,0.9021586178593695,,,,,
URDECPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXECPT,,,,,,,,,,,,,,,,,,,,,,,,0.539803996031192,,,,,,,,,,,,,,,
URDEPCLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXHIBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8705493362071737,,,,,,,,,
URDHIBLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMBP,,,,,,,,,,,,,,,,,,,,0.8209942769841956,,,,,,,,,,,,,,,,,,,
URDMBPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMC1LC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMCOH,,,,,,,,,,,,,,,,,,,,,,,,,,0.8571408734401045,,,,,,,,,,,,,
URDMCOLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMEPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMHBP,,,,,,,,,,,,0.8209942769841955,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMHBLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMHH,,,,,,0.8237404266751797,,,,,,,,,,,,,,,,,,,,,,0.5950990522624581,,,,,,0.9255452057184119,,,,,
URDMHHLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6412782730412859,,,,
URXMHHT,,,,,,,,0.539803996031192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMHTLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMHNC,,,,,,,,,,,,,,,,0.8571408734401053,,,,,,,,,,,,,,,,,,,,,,,
URDMCHLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMHP,,,,,,,,,,,,,,,,,,,,,,0.595099052262458,,,,,,,,,,,,0.5486367355763127,,,,,
URDMHPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMIB,,,,,,,,,,0.8705493362071736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMIBLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5461437230787541,,,
URDMNPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMOH,,,,,,0.9021586178593693,,,,,,,,,,,,,,,,0.9255452057184119,,,,,,0.5486367355763125,,,,,,,,,,,
URDMOHLC,,,,,,,,,,,,,,,,,,,,,,,0.6412782730412816,,,,,,,,,,,,,,,,
URXMONP,,,,0.8776855648539272,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5461437230787538,,,,,,,
URDMONLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URXMZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URDMZPLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
